Significant,-LOG(P-value),Difference,T:.Protein.IDs,T:.Majority.protein.IDs,T:.Protein.names,T:.Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],N:.Valid.values,N:.Valid.values.15.min,N:.Valid.values.30.min,N:.Valid.values.unstim,15.min.FG71.neu,15.min.FG72.neu,15.min.FG73.neu,30.min.FG74.neu,30.min.FG75.neu,30.min.FG77.neu,unstim.FG38.neu,unstim.FG39.neu,unstim.FG40.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,2.28007366613721,4.88830057779948,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,90.11,12,4,3,5,17.405366897583,16.455867767334,16.9702663421631,17.1487674713135,16.980167388916,17.4962673187256,11.1635665893555,14.0285673141479,11.7681665420532,30,IRAK4,NONE
TRUE,3.45672312122672,2.09146626790364,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,14,74.985,12,4,3,5,18.5704669952393,17.8500671386719,18.3957672119141,18.5059661865234,19.038667678833,18.969066619873,16.6669673919678,16.6671676635742,16.9051666259766,30,IRAK4,NONE
TRUE,3.4846930306695,1.58166631062825,A2AI08,A2AI08,Taperin,Tprn,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,19,80.088,12,4,3,5,20.3910675048828,19.7630672454834,20.0270671844482,20.4102668762207,20.6283664703369,20.4264678955078,19.0694675445557,18.9743671417236,18.6762676239014,30,IRAK4,NONE
TRUE,6.09424006372681,3.65810044606527,A2AKG8,A2AKG8,Focadhesin,Focad,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,16,198.95,13,4,4,5,17.045467376709,17.4870662689209,18.1767673492432,18.470666885376,18.5197677612305,18.6660671234131,14.8933668136597,14.8281669616699,14.9606666564941,30,IRAK4,NONE
TRUE,1.36110602049741,2.44853337605794,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,8,88.324,13,4,4,5,17.6631660461426,16.564266204834,17.0571670532227,16.332067489624,17.751766204834,17.6790676116943,16.0263671875,13.5931673049927,14.7977666854858,30,IRAK4,NONE
TRUE,3.58055475071247,1.6668659845988,A2ARZ3,A2ARZ3,Fibrous sheath-interacting protein 2,Fsip2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,784.85,11,4,3,4,17.5176677703857,17.0232677459717,17.6385669708252,17.3944664001465,17.791166305542,17.6434669494629,16.08766746521,15.8919668197632,15.8488674163818,30,IRAK4,NONE
TRUE,1.20911838312722,2.23832321166992,A2AWL7,A2AWL7,MAX gene-associated protein,Mga,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,328.8,12,4,3,5,9.60853672027588,11.2346668243408,11.5989665985107,11.030086517334,11.9917669296265,11.7643671035767,10.3762664794922,7.73451709747314,9.96046733856201,30,IRAK4,NONE
TRUE,2.61684945493408,4.74310032526652,A3KGV1,A3KGV1,Outer dense fiber protein 2,Odf2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,95.54,11,4,2,5,15.257266998291,15.2886667251587,15.1164674758911,16.1389675140381,NA,15.0215673446655,11.1807670593262,10.4630670547485,10.8676671981812,30,IRAK4,NONE
TRUE,3.65002226577404,-4.59991598129272,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,4,119.91,10,4,2,4,11.109167098999,11.786566734314,12.1060667037964,NA,12.2965669631958,11.7502670288086,16.51806640625,16.6957664489746,16.6561660766602,30,IRAK4,NONE
TRUE,2.3537629093258,3.39088344573975,B2RX14,B2RX14,Terminal uridylyltransferase 4,Zcchc11,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,7,184.65,11,4,3,4,14.5407667160034,13.2839670181274,14.3936672210693,14.1719675064087,13.9726667404175,14.9011669158936,11.2794666290283,10.6359672546387,NA,30,IRAK4,NONE
